OBJECTID,Name,ID,ZONENAME,EDIRANK,AREAHA,TREECOUNT,TREESPERHA,JUVCOUNT,JUVPERHA,MEANDBH,SPECIES,SPECIESPERTREE,PERCHIGH,HIGHHA,PERCMED,MEDHA,NFIHA,NFIPERC,POP,POPPERHA,NFIChange,Shape_Length,Shape_Area
46,Meadowbank and Abbeyhill North,62.000000000000000,Meadowbank and Abbeyhill North,3,63.939999999999998,321,5.020000000000000,21,0.330000000000000,35,32,0.100000000000000,2.309185654000000,1.476493307000000,10.851129050000001,6.938211914000000,1.900000000000000,2.980000000000000,"4,072",63.680000000000000,0.000000000000000,"4,861.448579485007900","639,440.739860005910000"
47,Willowbrae and Duddingston Village,104.000000000000000,Willowbrae and Duddingston Village,9,208.259999999999990,787,3.780000000000000,345,1.660000000000000,22,80,0.100000000000000,4.396191434000000,9.155508279999999,27.436131100000001,57.138486630000003,36.770000000000003,17.649999999999999,"5,407",25.960000000000001,-0.072227000000000,"9,048.310923941857300","2,082,611.487902091400000"
48,Craigmillar,30.000000000000000,Craigmillar,10,487.569999999999990,"1,803",3.700000000000000,336,0.690000000000000,33,66,0.040000000000000,11.454069649999999,55.846607390000003,26.283298660000000,128.149479300000000,66.760000000000005,13.690000000000000,"3,161",6.480000000000000,7.340440000000000,"20,434.339089141391000","4,876,940.044707052400000"
49,Niddrie,76.000000000000000,Niddrie,3,73.250000000000000,412,5.620000000000000,57,0.780000000000000,33,39,0.090000000000000,0.125033491000000,0.091587032000000,16.138251319999998,11.821269089999999,1.230000000000000,1.680000000000000,"4,330",59.119999999999997,0.000000000000000,"5,097.546780230717600","732,464.518333439600000"
50,"Bingham, Magdalene and The Christians",5.000000000000000,"Bingham, Magdalene and The Christians",6,85.799999999999997,392,4.570000000000000,32,0.370000000000000,32,44,0.110000000000000,0.205996796000000,0.176745251000000,27.626459140000001,23.703501950000000,4.340000000000000,5.050000000000000,"3,654",42.590000000000003,0.108630000000000,"6,515.062720309459100","858,012.860903988360000"
51,"Jewel, Brunstane and Newcraighall",53.000000000000000,"Jewel, Brunstane and Newcraighall",4,246.860000000000010,370,1.500000000000000,24,0.100000000000000,30,28,0.080000000000000,0.146351662000000,0.361283713000000,21.189629940000000,52.308720469999997,9.570000000000000,3.880000000000000,"3,270",13.250000000000000,-0.000002000000000,"9,098.096041117023600","2,468,602.161665777700000"
52,Joppa,54.000000000000000,Joppa,3,118.160000000000000,305,2.580000000000000,14,0.120000000000000,34,34,0.110000000000000,0.054440286000000,0.064326642000000,16.509016670000001,19.507054100000001,3.530000000000000,2.980000000000000,"5,136",43.469999999999999,-1.066267000000000,"6,152.259970255272500","1,181,582.089912280000000"
53,Portobello,84.000000000000000,Portobello,1,95.469999999999999,290,3.040000000000000,38,0.400000000000000,28,45,0.160000000000000,0.782805741000000,0.747344641000000,7.079585250000000,6.758880038000000,1.570000000000000,1.640000000000000,"3,926",41.119999999999997,0.000000000000000,"7,707.121770955398500","954,715.298896807130000"
54,Duddingston and Portobello South,35.000000000000000,Duddingston and Portobello South,6,147.530000000000000,"1,410",9.560000000000001,114,0.770000000000000,32,68,0.050000000000000,2.327953175000000,3.434429319000000,15.666016320000001,23.112073870000000,8.539999999999999,5.790000000000000,"3,881",26.309999999999999,-1.863544000000000,"7,080.819254291472100","1,475,278.300924368000000"
55,Mountcastle,69.000000000000000,Mountcastle,3,55.270000000000003,466,8.430000000000000,40,0.720000000000000,27,41,0.090000000000000,1.702731465000000,0.941099681000000,8.300815891999999,4.587860944000000,1.480000000000000,2.680000000000000,"2,549",46.119999999999997,0.000000000000000,"4,339.631374396446500","552,666.142779348880000"
